order_id,customer_id,material_id,qty,status,region,created_on
SO-0001,C-076,MAT-0369,39,Cancelled,North,2026-08-18 18:14:10
SO-0002,C-055,MAT-0307,77,Open,North,2026-08-18 18:14:41
SO-0003,C-024,MAT-0047,55,Closed,South,2026-08-18 18:13:49
SO-0004,C-074,MAT-0225,14,Cancelled,East,2026-08-18 18:14:09
SO-0005,C-064,MAT-0210,90,Closed,South,2026-08-18 18:12:58
SO-0006,C-074,MAT-0357,17,Cancelled,North,2026-08-18 18:13:23
SO-0007,C-004,MAT-0013,58,Cancelled,South,2026-08-18 18:12:11
SO-0008,C-053,MAT-0330,14,Closed,North,2026-08-18 18:11:55
SO-0009,C-007,MAT-0321,80,Cancelled,East,2026-08-18 18:13:15
SO-0010,C-005,MAT-0345,45,Cancelled,West,2026-08-18 18:13:10
SO-0011,C-070,MAT-0126,49,Cancelled,West,2026-08-18 18:12:51
SO-0012,C-081,MAT-0311,20,Cancelled,East,2026-08-18 18:14:41
SO-0013,C-057,MAT-0011,67,Cancelled,South,2026-08-18 18:13:22
SO-0014,C-010,MAT-0399,67,Open,South,2026-08-18 18:13:22
SO-0015,C-035,MAT-0354,39,Closed,North,2026-08-18 18:14:39
SO-0016,C-040,MAT-0003,93,Open,East,2026-08-18 18:12:48
SO-0017,C-003,MAT-0376,49,Closed,North,2026-08-18 18:13:48
SO-0018,C-095,MAT-0245,89,Cancelled,East,2026-08-18 18:12:04
SO-0019,C-006,MAT-0456,6,Open,North,2026-08-18 18:13:50
SO-0020,C-076,MAT-0470,33,Open,West,2026-08-18 18:12:32
SO-0021,C-066,MAT-0197,56,Open,Central,2026-08-18 18:14:12
SO-0022,C-020,MAT-0225,84,Closed,East,2026-08-18 18:13:22
SO-0023,C-073,MAT-0267,38,Cancelled,Central,2026-08-18 18:14:06
SO-0024,C-027,MAT-0201,59,Open,West,2026-08-18 18:14:11
SO-0025,C-061,MAT-0179,83,Closed,West,2026-08-18 18:12:13
