material_id,description,category,unit_price,stock_qty,safety_stock,plant_code,created_on
MAT-0001,Adaptive asynchronous open system,Chemicals,3972.25,382,61,PLT-PUN,2026-07-04 19:56:59
MAT-0002,Front-line responsive service-desk,Chemicals,3216.01,259,39,PLT-CHE,2026-08-07 00:17:54
MAT-0003,Total cohesive orchestration,Chemicals,3315.49,456,70,PLT-CHE,2026-03-15 18:40:13
MAT-0004,Customer-focused zero-defect task-force,Finished Goods,1696.91,308,51,PLT-COI,2026-04-04 02:14:43
MAT-0005,Ergonomic reciprocal circuit,Raw Material,611.25,374,75,PLT-HYD,2025-09-13 08:44:16
MAT-0006,Optimized real-time capability,Raw Material,1564.02,40,47,PLT-HYD,2026-03-18 03:27:19
MAT-0007,Profit-focused interactive knowledgebase,Raw Material,3823.54,81,58,PLT-COI,2026-02-07 00:37:15
MAT-0008,Phased mobile website,Packaging,402.79,413,44,PLT-COI,2026-02-22 16:49:48
MAT-0009,Exclusive solution-oriented encryption,Packaging,2688.88,320,29,PLT-HYD,2026-04-17 15:08:26
MAT-0010,Organic client-driven moratorium,Finished Goods,246.91,186,52,PLT-COI,2026-03-05 06:28:09
MAT-0011,Face-to-face encompassing Graphical User Interface,Raw Material,2219.71,441,86,PLT-HYD,2025-11-09 14:46:07
MAT-0012,Sharable value-added policy,Raw Material,2348.38,234,27,PLT-HYD,2026-01-24 06:57:00
MAT-0013,Fully-configurable maximized capacity,Packaging,1810.94,243,38,PLT-CHE,2025-09-10 08:44:27
MAT-0014,De-engineered eco-centric knowledgebase,Chemicals,3915.77,483,87,PLT-PUN,2026-06-14 19:13:39
MAT-0015,Re-contextualized actuating protocol,Raw Material,1875.4,13,85,PLT-PUN,2026-01-15 22:47:06
MAT-0016,Function-based upward-trending Graphical User Interface,Raw Material,2908.54,24,53,PLT-PUN,2025-12-19 17:54:37
MAT-0017,Cross-group bandwidth-monitored adapter,Raw Material,3666.41,94,81,PLT-COI,2026-07-27 10:57:29
MAT-0018,Switchable homogeneous alliance,Spare Parts,3086.23,336,33,PLT-HYD,2025-10-24 06:04:14
MAT-0019,Versatile global forecast,Packaging,2619.85,307,88,PLT-CHE,2026-02-05 12:10:35
MAT-0020,Reactive intangible support,Raw Material,4881.09,320,35,PLT-HYD,2026-03-04 18:41:29
MAT-0021,Cross-platform composite info-mediaries,Packaging,1038.44,124,93,PLT-CHE,2026-06-05 22:16:57
MAT-0022,Fully-configurable reciprocal paradigm,Raw Material,4788.05,96,54,PLT-COI,2026-06-11 21:18:52
MAT-0023,De-engineered modular contingency,Chemicals,132.6,167,78,PLT-HYD,2026-08-12 10:57:33
MAT-0024,Synergized holistic info-mediaries,Raw Material,3803.8,250,37,PLT-COI,2026-07-24 01:19:20
MAT-0025,Automated static help-desk,Finished Goods,1397.27,290,58,PLT-CHE,2026-05-17 03:24:27
MAT-0026,Centralized secondary interface,Spare Parts,3305.78,40,99,PLT-CHE,2026-06-29 20:29:05
MAT-0027,Down-sized value-added workforce,Packaging,901.2,404,52,PLT-PUN,2025-09-23 14:19:09
MAT-0028,Integrated object-oriented moratorium,Raw Material,3715.5,137,38,PLT-CHE,2026-03-05 16:55:24
MAT-0029,Team-oriented intangible challenge,Spare Parts,4022.0,301,73,PLT-CHE,2026-03-05 04:12:22
MAT-0030,Down-sized background archive,Raw Material,4269.49,329,51,PLT-CHE,2025-10-06 21:20:58
MAT-0031,Programmable tangible Local Area Network,Chemicals,2527.46,388,95,PLT-CHE,2026-05-24 17:51:24
MAT-0032,Progressive fault-tolerant conglomeration,Chemicals,2184.89,405,46,PLT-HYD,2026-01-17 12:09:14
MAT-0033,Organized disintermediate synergy,Chemicals,2606.93,159,40,PLT-PUN,2026-07-18 13:36:40
MAT-0034,Automated methodical benchmark,Spare Parts,2378.52,409,67,PLT-CHE,2025-10-29 17:06:40
MAT-0035,Front-line web-enabled groupware,Spare Parts,4223.49,465,50,PLT-HYD,2026-07-14 01:04:40
MAT-0036,Front-line didactic process improvement,Packaging,3240.1,227,67,PLT-COI,2026-07-13 18:52:41
MAT-0037,Profit-focused eco-centric moratorium,Chemicals,4117.66,70,62,PLT-PUN,2026-03-10 23:38:49
MAT-0038,Down-sized attitude-oriented solution,Finished Goods,4207.91,486,64,PLT-PUN,2025-09-26 14:23:49
MAT-0039,Inverse clear-thinking function,Packaging,3288.76,362,22,PLT-HYD,2026-02-23 02:35:59
MAT-0040,Team-oriented high-level flexibility,Finished Goods,4914.12,220,34,PLT-PUN,2026-08-14 21:46:35
MAT-0041,Ergonomic homogeneous infrastructure,Raw Material,4566.15,433,45,PLT-CHE,2025-11-14 08:23:45
MAT-0042,Function-based 24hour capacity,Raw Material,1628.73,119,67,PLT-PUN,2025-10-18 16:33:08
MAT-0043,Robust bottom-line knowledge user,Finished Goods,541.87,218,76,PLT-CHE,2026-06-23 23:50:37
MAT-0044,Future-proofed zero administration artificial intelligence,Packaging,2974.39,79,42,PLT-PUN,2025-12-29 18:57:12
MAT-0045,Open-architected secondary database,Finished Goods,2407.25,400,73,PLT-PUN,2026-07-08 15:06:11
MAT-0046,Customizable asynchronous emulation,Packaging,3459.07,117,67,PLT-HYD,2026-07-29 20:53:51
