customer_id,name,region,credit_limit,outstanding_amount,created_on
C-001,Tanner Group,West,10833.33,2082.26,2025-02-16 23:36:30
C-002,Kim-King,West,87777.92,26841.57,2025-11-09 04:36:09
C-003,Jackson LLC,North,55280.9,484.7,2025-02-05 16:40:00
C-004,Calderon PLC,South,151344.72,7999.89,2026-08-17 12:45:13
C-005,"Bryant, Collins and Silva",South,132512.52,13176.56,2025-05-08 21:42:55
C-006,Thompson and Sons,South,135075.37,13618.33,2025-04-29 18:16:19
C-007,Garcia LLC,Central,52999.05,44943.47,2025-01-28 15:45:50
C-008,Hernandez and Sons,East,33284.38,629.85,2024-11-21 01:59:16
C-009,"Clark, Cain and Smith",North,135857.53,35316.36,2025-06-05 01:40:20
C-010,Adams-Lee,Central,156593.04,21412.23,2025-10-29 05:26:21
C-011,Hayes Ltd,South,56025.29,34396.18,2026-07-09 13:01:27
C-012,Sparks-Jennings,West,62815.14,43902.72,2025-04-02 13:04:17
C-013,Franklin-Hansen,North,32101.55,44970.82,2026-06-19 15:03:42
C-014,Rogers Ltd,East,65814.99,33150.42,2025-12-15 01:30:34
C-015,"Rivas, Huynh and Martin",Central,138507.7,29610.8,2025-07-08 03:12:11
C-016,Hart-Hughes,Central,119834.57,11861.82,2025-01-11 03:50:57
C-017,Mathis-Lam,South,75837.27,4160.62,2024-10-05 23:22:39
C-018,Perez Inc,South,21587.2,5986.38,2024-11-24 18:19:39
C-019,Henson Group,East,198426.13,45768.52,2025-12-04 04:09:27
C-020,Lambert-Jackson,West,198564.84,27667.84,2025-06-09 09:51:33
C-021,Lopez-Rodriguez,West,110347.15,21421.98,2025-11-11 16:29:48
C-022,Clark-Price,East,136061.72,42305.9,2026-07-11 21:53:03
C-023,"Garcia, Scott and Santiago",East,37740.66,2210.6,2025-11-13 16:33:48
C-024,Palmer LLC,Central,28030.69,7203.42,2025-05-23 01:04:01
C-025,Bass-Thomas,Central,59866.94,40482.83,2026-04-23 03:02:56
C-026,"Jones, Rice and Frazier",Central,176862.8,15962.82,2024-09-04 14:52:33
C-027,"James, Leonard and Reese",Central,80306.62,18263.42,2024-10-03 21:00:19
C-028,Davenport Group,North,52726.38,38793.72,2025-08-28 16:58:41
C-029,Olson-Peck,North,94309.07,23292.27,2026-06-13 18:07:23
C-030,Rodriguez-Jimenez,South,138898.27,21276.35,2025-03-03 08:26:52
C-031,Harrison PLC,East,112542.49,28663.58,2025-11-28 13:49:06
C-032,Ford LLC,North,40978.51,47030.63,2026-06-01 23:56:02
C-033,"Rodriguez, Woods and Wells",North,91774.53,18591.91,2024-11-24 13:45:45
C-034,Diaz LLC,South,160625.93,14694.63,2025-08-10 00:49:57
C-035,"Morales, Gallegos and Thompson",West,21062.37,19242.39,2024-09-28 01:51:53
C-036,"Compton, Johnson and Vasquez",South,157275.75,47892.42,2025-01-05 20:32:54
C-037,Cortez Group,Central,88290.84,8835.49,2025-10-28 02:20:56
C-038,"Green, Gould and Perez",Central,124897.59,32853.84,2025-12-18 14:01:34
C-039,Watts-Young,North,62703.69,6386.77,2025-09-09 03:35:48
C-040,Frost-Frost,East,107919.18,29478.95,2026-03-02 16:12:54
C-041,Carey Group,East,93219.4,34762.15,2026-03-30 06:16:50
C-042,"Weaver, Gilbert and Wood",South,56701.56,4356.94,2025-01-23 06:14:24
C-043,Anderson and Sons,North,190108.52,21304.59,2025-02-18 19:44:03
C-044,"Thomas, Jimenez and Taylor",West,105740.18,23574.26,2026-02-25 18:44:36
C-045,"Cordova, Fisher and Figueroa",South,126879.75,33416.19,2025-03-04 21:34:02
C-046,"Miller, Shah and Grant",South,155633.11,24897.96,2025-10-10 03:42:38
C-047,"Jackson, Moore and Davis",East,105286.05,40881.22,2025-12-15 10:28:15
C-048,"Foley, Brown and Green",North,198698.94,19259.21,2025-02-18 09:13:09
C-049,Ramos and Sons,North,193568.2,49163.82,2026-05-22 17:25:24
C-050,Dunn-Cobb,Central,191226.89,24002.32,2025-02-28 20:47:50
C-051,"Miles, Cervantes and Trujillo",East,46884.39,16912.59,2026-01-26 13:34:53
C-052,Cohen-Adams,West,180783.38,16753.44,2026-04-16 08:18:22
C-053,"Knapp, Young and Hill",West,32765.32,38907.31,2025-09-11 01:12:13
C-054,"Werner, Vargas and Morris",North,66374.48,27107.26,2024-11-17 05:50:03
C-055,"Day, Wall and Torres",Central,157410.59,26721.49,2025-02-26 11:28:21
C-056,Chavez Ltd,North,173881.1,37697.23,2026-05-23 22:28:12
C-057,Becker Inc,South,103728.62,4233.09,2026-04-15 00:17:46
C-058,"Hamilton, Alvarado and Williams",North,121317.61,21948.35,2024-09-26 07:02:03
C-059,Johnson-Davis,West,34567.67,35433.92,2025-01-26 05:45:36
C-060,Alvarez Inc,South,194689.14,13967.89,2026-03-13 15:11:48
C-061,"Guerrero, Lopez and Moreno",North,80839.76,22480.38,2026-06-24 02:12:02
C-062,Brown and Sons,East,93711.03,17214.19,2024-09-12 00:57:07
C-063,Thornton and Sons,East,153274.19,3756.08,2026-03-20 04:27:22
C-064,Larson-Nicholson,South,54746.7,43207.25,2025-04-18 21:29:47
C-065,Martinez Group,South,58167.95,21105.44,2026-02-15 09:19:20
C-066,Cole Group,West,142164.39,4644.18,2025-08-22 11:34:41
C-067,Townsend Ltd,West,81923.27,48264.92,2026-04-25 19:00:02
C-068,"Thomas, Wood and Thompson",North,52716.63,27165.34,2025-06-24 05:15:25
C-069,"Fisher, Keller and Kim",West,12556.76,209.65,2025-07-19 21:32:50
C-070,"Garrett, Browning and Carpenter",North,61939.2,26959.03,2025-05-10 08:13:32
C-071,Lin Group,East,164354.85,8935.39,2025-01-22 21:02:09
C-072,Duran and Sons,South,196594.12,34499.92,2025-10-19 06:23:46
C-073,Castillo-Brown,West,66852.37,26609.55,2026-03-23 03:15:47
C-074,Fuentes-Baird,West,72560.22,46302.55,2026-01-26 07:05:18
C-075,Green-Hawkins,East,45299.22,2579.22,2025-01-25 17:58:31
C-076,Medina-Daniels,East,28953.63,46864.75,2025-08-10 19:48:35
C-077,Jones-Patterson,South,139566.92,37660.6,2024-09-11 03:32:48
C-078,Anthony-Smith,East,84257.84,46897.12,2025-10-13 16:46:54
C-079,"Moore, Pruitt and Harrison",East,189419.0,34437.95,2025-07-07 08:38:55
C-080,"Gomez, Mcknight and Butler",South,149371.22,31922.43,2025-10-01 23:24:38
C-081,"Peterson, Miller and Smith",West,107750.52,8164.04,2026-01-08 17:40:21
C-082,Parks and Sons,South,68249.2,5618.33,2024-09-08 02:43:35
C-083,Bright Group,East,195815.72,45508.82,2026-07-26 17:50:11
C-084,Oliver Ltd,South,151644.22,27438.21,2024-12-26 19:46:27
C-085,Lara-Benson,East,91836.7,20609.04,2025-09-03 10:24:08
C-086,"Franklin, Wade and Suarez",West,111247.79,41917.41,2026-06-01 07:26:15
C-087,Rosales-Cuevas,North,157575.65,49740.39,2025-01-11 03:51:38
C-088,"Goodman, Lopez and Matthews",North,114812.89,45064.88,2025-05-19 11:55:39
C-089,Garcia LLC,Central,91875.62,38045.12,2025-05-30 02:57:23
